RK,Player,TM,BYE,PASS ATT,COMP,PASS YARDS,PASS TD,INT,RUSH ATT,RUSH YARDS,RUSH TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH ATT,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,AUC Calc
1,Josh Allen,BUF,7,516,346,4002,27,11,106,538,12,371.0,$26,,1,Jahmyr Gibbs,DET,6,260,1280,14,94,73,575,4,324.2,$40,,1,Jaxon Smith-Njigba,SEA,11,30,0,166,120,1773,10,300.2,$48,,1,Colston Loveland,CHI,10,123,84,1013,8,193.5,$27,$27
2,Drake Maye,NE,11,545,383,4413,30,12,87,417,4,336.0,$18,,2,Bijan Robinson,ATL,11,265,1287,10,102,76,738,4,322.9,$40,,2,Ja'Marr Chase,CIN,6,15,0,189,131,1621,12,298.9,$48,,2,Brock Bowers,LV,13,137,95,1017,7,189.2,$26,$26
3,Lamar Jackson,BAL,13,456,295,3654,28,9,128,723,4,332.2,$16,,3,Christian McCaffrey,SF,8,255,1025,9,101,83,752,5,305.3,$37,,3,Puka Nacua,LAR,11,81,1,173,123,1601,9,288.9,$46,,3,Trey McBride,ARI,14,140,98,973,6,183.7,$24,$24
4,Joe Burrow,CIN,6,613,420,4517,36,11,37,131,1,322.6,$12,,4,Jonathan Taylor,IND,13,303,1453,13,57,44,331,1,287.8,$33,,4,Amon-Ra St. Brown,DET,6,11,0,173,121,1424,10,263.2,$40,,4,Tyler Warren,IND,13,119,87,903,6,168.3,$21,$21
5,Jalen Hurts,PHI,10,480,315,3538,25,8,109,444,9,322.4,$9,,5,James Cook,BUF,7,275,1357,10,44,33,269,2,250.4,$26,,5,George Pickens,DAL,14,0,0,139,92,1343,9,232.5,$33,,5,Sam LaPorta,DET,6,102,75,826,6,155.9,$18,$18
6,Jayden Daniels,WSH,7,483,319,3519,22,9,130,734,5,314.1,$7,,6,De'Von Achane,MIA,6,251,1194,6,79,62,452,3,249.4,$26,,6,Drake London,ATL,11,0,0,158,101,1317,8,228.9,$32,,6,George Kittle,SF,8,87,68,796,7,155.1,$18,$18
7,Brock Purdy,SF,8,537,361,4298,30,15,64,276,4,310.7,$6,,7,Chase Brown,CIN,6,231,1011,7,85,71,491,4,248.7,$26,,7,Justin Jefferson,MIN,6,0,0,153,101,1264,8,223.2,$31,,7,Harold Fannin,CLE,11,119,78,823,5,154.0,$17,$17
8,Dak Prescott,DAL,14,603,406,4543,31,12,46,169,2,309.0,$5,,8,Derrick Henry,BAL,13,282,1413,11,26,18,177,1,240.8,$25,,8,CeeDee Lamb,DAL,14,0,0,154,98,1312,7,223.2,$31,,8,Tucker Kraft,GB,11,92,66,816,6,153.1,$17,$17
9,Caleb Williams,CHI,10,564,343,4087,28,8,68,347,3,308.9,$4,,9,Saquon Barkley,PHI,10,309,1321,9,44,30,221,2,234.0,$23,,9,A.J. Brown,NE,11,0,0,134,85,1244,9,221.0,$30,,9,Isaiah Likely,NYG,8,99,72,787,6,148.9,$16,$16
10,Jaxson Dart,NYG,8,479,309,3355,22,8,99,557,8,308.2,$4,,10,Omarion Hampton,LAC,7,246,1059,9,60,51,355,2,233.1,$23,,10,Nico Collins,HOU,8,0,0,144,86,1273,7,212.5,$28,,10,Travis Kelce,KC,5,107,74,782,5,147.7,$16,$16
11,Trevor Lawrence,JAX,7,565,349,3994,26,13,75,337,6,307.9,$4,,11,Ashton Jeanty,LV,13,276,1145,8,71,50,352,2,233.1,$23,,11,Tee Higgins,CIN,6,0,0,128,81,1082,10,210.3,$28,,11,Kyle Pitts,ATL,11,108,74,807,4,141.2,$15,$15
12,Patrick Mahomes,KC,5,568,369,4052,30,12,56,327,3,307.6,$4,,12,Kenneth Walker,KC,5,264,1131,9,50,38,306,2,229.6,$23,,12,Tetairoa McMillan,CAR,5,0,0,149,85,1213,7,207.9,$27,,12,Dalton Kincaid,BUF,7,89,61,742,5,137.5,$14,$14
13,Bo Nix,DEN,10,571,370,3914,26,11,82,353,4,299.7,$2,,13,Javonte Williams,DAL,14,262,1195,10,53,38,191,2,227.2,$22,,13,Zay Flowers,BAL,13,56,0,123,82,1157,7,204.8,$26,,13,Jake Ferguson,DAL,14,100,75,607,6,135.5,$13,$13
14,Jared Goff,DET,6,585,403,4643,32,11,19,39,0,299.5,$1,,14,Cam Skattebo,NYG,8,255,1084,8,55,40,308,2,223.8,$22,,14,Jaylen Waddle,DEN,10,12,0,134,89,1132,7,200.8,$25,,14,Mark Andrews,BAL,13,84,56,601,7,128.8,$12,$12
