Team,interceptions,safeties,sacks,tackles,fumbles recovered,fumbles forced,defensive tds,points allowed,points allowed per game,pass yards allowed,rush yards allowed,total yards allowed,yards per game allowed,fpts,fppg
Denver,15,0,72.8,649,10,14,2.9,313,18.4,2479,1762,4241,249.5,276.2,16.2
Houston,16,1,56.9,662,14,20,3.3,319,18.8,2836,1823,4659,274.1,240.7,14.2
Seattle,14,0,50.6,699,12,16,4,298,17.5,2961,1777,4738,278.7,228.6,13.4
L.A. Rams,15,0,51.3,699,12,16,2.9,342,20.1,3114,1902,5016,295.1,224.7,13.2
Philadelphia,15,0,45.5,674,13,18,3,320,18.8,3040,1919,4959,291.7,221.5,13
Minnesota,13,0,60.9,683,16,22,3.1,358,21.1,2816,1833,4649,273.5,205.5,12.1
Atlanta,14,0,66,660,10,14,2.7,416,24.5,2955,2035,4990,293.5,198.2,11.7
New Orleans,13,0,54.7,691,12,16,2.7,434,25.5,3254,1818,5072,298.4,188.9,11.1
Baltimore,13,0,49.2,690,12,16,2.8,378,22.2,3326,1757,5083,299,184,10.8
Cleveland,13,0,52.8,661,11,15,2.5,407,23.9,2894,1815,4709,277,183.8,10.8
New England,13,0,44.2,680,12,16,3.4,362,21.3,2966,1845,4811,283,182.6,10.7
Jacksonville,13,0,32.6,704,12,17,3.5,386,22.7,3230,1860,5090,299.4,171.6,10.1
Detroit,14,0,59.5,681,11,14,3.3,401,23.6,3181,2054,5235,307.9,163.3,9.6
Pittsburgh,12,0,50.3,704,17,23,3.1,364,21.4,3542,1869,5411,318.3,160.9,9.5
L.A. Chargers,16,0,60.1,676,9,13,2.8,379,22.3,3062,2049,5111,300.6,160.9,9.5
Buffalo,16,0,47.5,678,11,16,3.1,399,23.5,3035,2305,5340,314.1,154.1,9.1
Chicago,15,0,43,714,13,18,3.1,394,23.2,3638,2301,5939,349.4,151.6,8.9
Cincinnati,13,0,46.5,677,13,17,3,448,26.4,3486,2273,5759,338.8,150.5,8.9
Miami,10,0,52.5,739,13,18,2.7,475,27.9,3666,2156,5822,342.5,148.7,8.7
Tampa Bay,12,0,40.1,682,14,19,2.8,419,24.6,3599,1861,5460,321.2,142.9,8.4
Las Vegas,11,0,47.2,726,12,17,2.4,474,27.9,3644,1777,5421,318.9,141.6,8.3
Green Bay,13,0,39.2,724,12,16,2.7,376,22.1,3331,1851,5182,304.8,139.4,8.2
Washington,11,0,46.9,704,9,12,2.8,455,26.8,3956,2183,6139,361.1,137.7,8.1
Indianapolis,12,0,40.9,682,11,15,2.7,402,23.6,3378,1820,5198,305.8,137.1,8.1
Kansas City,12,0,43.9,713,10,14,2.5,363,21.4,3338,1762,5100,300,136.9,8.1
N.Y. Giants,11,0,40.4,706,11,16,2.7,466,27.4,3647,2532,6179,363.5,134.6,7.9
Carolina,13,0,42.4,719,9,13,2.3,421,24.8,3594,2070,5664,333.2,134.2,7.9
San Francisco,11,0,31.9,723,12,17,2.6,408,24,3477,1942,5419,318.8,127.5,7.5
Tennessee,10,0,53.2,723,12,16,2.7,521,30.6,3863,2073,5936,349.2,113.4,6.7
Arizona,12,0,35.4,747,12,16,2.5,518,30.5,3952,2074,6026,354.5,98.4,5.8
Dallas,9,0,43.4,727,11,15,2.4,499,29.4,4015,2203,6218,365.8,97.8,5.8
N.Y. Jets,11,0,35.8,677,9,12,3.1,493,29,3551,1876,5427,319.2,94.4,5.6
