Player,gp,field goals made,field goals attempted,long,field goals made 1-19yds,field goals attempted 1-19 yds,field goals made 20-29yds,field goals attempted 20-29 yds,field goals made 30-39yds,field goals attempted 30-39 yds,field goals made 40-49yds,field goals attempted 40-49 yds,field goals made 50+yds,field goals attempted 50+yds,extra points made,extra points attempted,fpts,fppg
Jason Myers K  SEA,17,39,44,—,0.305,0.305,8.4,9.3,12.6,13.2,11.5,13,6.5,6.5,50,51,167,9.8
Ka'imi Fairbairn K  HOU,17,39,43,—,0.324,0.324,8.9,9.4,10.5,10.8,11.8,13.2,6.9,6.9,39,41,156,9.2
Brandon Aubrey K  DAL,17,35,39,—,0.287,0.287,8.2,8.3,9.3,10.1,10.7,11.8,6.1,6.1,49,49,154,9.1
Blake Grupe K  IND,17,34,42,—,0.261,0.262,8.9,9,11.5,13.5,7.5,11.2,5.6,5.6,51,52,153,9
Nick Folk K  ATL,17,35,38,—,0.293,0.293,8.1,8.1,10.1,10.2,10.1,11.2,6.2,6.2,46,47,151,8.9
Jake Bates K  DET,17,31,38,—,0.242,0.243,6.7,6.7,9.5,9.7,9.5,11.5,5.1,5.1,53,55,146,8.6
Cameron Dicker K  LAC,17,35,38,—,0.277,0.278,7.6,7.7,11.6,12.3,10.3,11.5,5.3,5.3,38,40,143,8.4
Cairo Santos K  CHI,17,32,37,—,0.25,0.25,6.9,6.9,9,9.8,10.6,13.1,5.3,5.3,47,47,143,8.4
Harrison Mevis K  LAR,17,29,31,—,0.243,0.246,6.7,6.8,7.9,8.3,10.3,11.5,3.38,3.38,55,56,142,8.4
Chase McLaughlin K  TB,17,33,40,—,0.291,0.291,8.2,8.3,9.9,11.7,8.4,11.8,6.2,6.2,42,44,141,8.3
Will Reichard K  MIN,17,33,36,—,0.29,0.29,8,8.1,9.9,10.2,8.3,9.3,6.2,6.2,42,43,141,8.3
Tyler Loop K  BAL,17,29,32,—,0.232,0.232,9.3,9.4,10.6,10.8,7.7,8.7,1.16,1.16,49,51,136,8
Cam Little K  JAC,17,29,32,—,0.237,0.238,6.5,6.6,8.2,8.3,8.7,10.4,5,5,48,49,135,7.9
Harrison Butker K  KC,17,33,39,—,0.507,0.508,9.5,9.8,10.1,10.2,8.5,10.1,4.64,4.64,35,39,134,7.9
Evan McPherson K  CIN,17,29,34,—,0.235,0.236,6.5,6.5,7.6,7.7,10,11.1,5,5,47,50,134,7.9
Wil Lutz K  DEN,17,30,36,—,0.224,0.224,8.4,8.5,10.7,10.9,6.4,9.4,4.41,4.41,44,45,134,7.9
Eddy Pineiro K  SF,17,31,34,—,0.245,0.245,6.7,6.8,8.5,8.8,10.4,11.6,5.2,5.2,37,41,130,7.6
Charlie Smyth K  NO,17,30,36,—,0.27,0.273,7.5,7.7,9.8,10.6,8,11.1,4.22,4.22,37,38,127,7.5
Trey Smack K  GB,17,29,34,—,0.285,0.288,8,8.2,9.1,10.2,8,10.4,3.14,3.14,39,43,126,7.4
Tyler Bass K  BUF,17,26,32,—,0.215,0.215,8.1,9,7.2,7.2,6.3,9.4,4.57,4.57,46,49,124,7.3
Jason Sanders K  NYJ,17,29,34,—,0.24,0.24,6.6,6.7,10.5,10.7,6.9,9.7,5.1,5.1,35,37,122,7.2
Joey Slye K  TEN,17,29,35,—,0.257,0.257,7.1,7.4,8.4,8.7,7.6,9.9,5.5,5.5,34,35,121,7.1
Andres Borregales K  NE,17,26,31,—,0.407,0.407,7,7.1,8.7,9.6,6.2,9.3,3.5,3.5,42,44,120,7.1
Drew Stevens K  WAS,17,27,32,—,0.27,0.273,7.6,7.8,8.7,9.6,7.6,9.8,2.97,2.97,39,43,120,7.1
Riley Patterson K  MIA,17,27,31,—,0.217,0.217,6,6,8.6,9.6,9.2,10.2,3.19,3.19,38,39,119,7
Jake Elliott K  PHI,17,26,33,—,0.198,0.198,5.4,5.5,8.3,8.6,8.3,10.7,3.33,3.33,41,43,119,7
Chad Ryland K  ARI,17,26,33,—,0.215,0.215,5.9,6,8.4,9.1,7.3,10.7,4.57,4.57,37,38,115,6.8
Chris Boswell K  PIT,17,25,29,—,0.212,0.212,5.8,6,6.9,8.2,7.7,8.7,4.51,4.51,36,37,111,6.5
Ryan Fitzgerald K  CAR,17,24,29,—,0.198,0.198,5.9,6,7.9,8.9,8.4,9.3,1.98,1.98,34,38,106,6.2
Matt Gay K  LV,17,23,31,—,0.187,0.188,6,6.1,6.1,7,7.1,7.9,3.98,3.98,33,34,102,6
Andre Szmyt K  CLE,17,23,26,—,0.181,0.181,4.97,5,8.6,9.5,5.2,6.2,3.84,3.84,32,33,101,5.9
Ben Sauls K  NYG,17,20,26,—,0.189,0.191,5.8,6.1,6.7,8.3,5.3,7.4,1.84,1.84,25,31,85,5
Dominic Zvada K  NYG,17,7,9,—,0.066,0.067,1.85,1.91,2.12,2.61,1.85,2.67,0.727,0.727,9,12,30,1.8
Matt Prater K  BUF,17,0,0,—,—,—,—,—,—,—,—,—,—,—,0,0,0,0
Spencer Shrader K  IND,17,0,0,—,—,—,—,—,—,—,—,—,—,—,0,0,0,0
