"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Jahmyr Gibbs","DET","RB1","274.4","1,381.0","13.8","70.9","580.3","4.1","1.1","301.7"
"Bijan Robinson","ATL","RB2","289.6","1,427.4","9.5","79.6","736.4","3.5","1.8","290.4"
"Jonathan Taylor","IND","RB3","327.4","1,509.8","12.9","45.1","338.2","1.5","1.7","267.4"
"Derrick Henry","BAL","RB4","314.0","1,568.7","13.4","17.8","172.2","0.7","1.7","255.3"
"Christian McCaffrey","SF","RB5","269.4","1,093.3","8.7","74.9","657.2","4.6","1.1","252.8"
"James Cook III","BUF","RB6","287.3","1,403.5","10.3","33.3","281.7","1.9","2.4","236.9"
"De'Von Achane","MIA","RB7","237.9","1,197.5","6.0","65.3","490.6","4.0","1.0","226.7"
"Saquon Barkley","PHI","RB8","295.9","1,311.3","8.2","41.7","330.4","2.1","1.0","224.2"
"Puka Nacua","LAR","WR1","13.6","85.0","1.4","117.0","1,539.0","9.0","1.0","222.8"
"Josh Jacobs","GB","RB9","288.8","1,161.3","12.0","35.7","283.6","1.2","1.3","221.2"
"Ashton Jeanty","LV","RB10","281.4","1,107.2","8.0","58.7","414.2","3.3","1.1","218.2"
"Ja'Marr Chase","CIN","WR2","3.0","17.0","0.0","121.2","1,510.4","10.6","1.0","214.4"
"Chase Brown","CIN","RB11","239.4","1,040.5","7.5","64.4","430.2","3.9","1.1","213.3"
"Jaxon Smith-Njigba","SEA","WR3","5.5","30.4","0.1","110.9","1,568.4","9.2","1.1","213.1"
"Omarion Hampton","LAC","RB12","249.1","1,072.9","10.0","51.6","352.8","2.0","1.1","211.9"
"Kyren Williams","LAR","RB13","240.2","1,118.1","10.1","33.5","239.6","2.2","1.5","206.3"
"Breece Hall","NYJ","RB14","259.3","1,159.7","6.5","47.4","411.3","2.2","1.7","206.2"
"Kenneth Walker III","KC","RB15","255.7","1,158.1","8.3","45.1","347.1","1.2","0.9","206.1"
"Amon-Ra St. Brown","DET","WR4","3.1","11.8","0.0","117.0","1,390.5","10.5","0.4","202.5"
"Jeremiyah Love","ARI","RB16","238.3","1,078.7","7.2","54.4","419.3","2.1","2.2","201.3"
"Javonte Williams","DAL","RB17","255.5","1,157.4","10.4","33.0","192.1","1.2","1.6","200.9"
"Cam Skattebo","NYG","RB18","243.4","1,015.7","8.1","45.8","364.0","2.5","1.6","198.6"
"D'Andre Swift","CHI","RB19","233.1","1,053.1","8.1","34.8","299.9","1.0","1.0","187.9"
"Drake London","ATL","WR5","0.0","0.0","0.0","101.7","1,328.5","9.4","1.0","187.5"
"Travis Etienne Jr.","NO","RB20","244.6","1,036.3","5.4","44.9","351.2","3.0","1.0","187.1"
"Bucky Irving","TB","RB21","256.5","1,020.9","6.1","39.9","336.2","2.3","1.0","183.9"
"Quinshon Judkins","CLE","RB22","289.1","1,104.1","8.1","31.3","218.3","0.6","0.9","182.4"
"Bhayshul Tuten","JAC","RB23","243.0","992.8","8.2","29.2","221.6","2.1","2.2","179.2"
"CeeDee Lamb","DAL","WR6","2.4","12.5","0.0","97.6","1,297.3","7.5","0.3","175.7"
"Rashee Rice","KC","WR7","5.4","25.5","0.9","98.8","1,099.0","9.7","0.6","174.6"
"Justin Jefferson","MIN","WR8","1.3","5.5","0.0","98.6","1,302.2","6.8","0.3","171.0"
"George Pickens","DAL","WR9","0.3","-0.3","0.0","82.7","1,202.1","8.4","0.5","169.6"
"A.J. Brown","NE","WR10","0.0","0.0","0.0","88.7","1,234.4","7.6","0.3","168.7"
"Nico Collins","HOU","WR11","1.4","8.3","0.4","82.5","1,212.5","7.2","0.8","166.0"
"TreVeyon Henderson","NE","RB24","190.1","885.9","7.3","37.7","261.5","1.2","0.9","163.9"
"Chris Olave","NO","WR12","0.3","0.0","0.0","94.2","1,169.2","7.8","0.3","163.2"
"Zay Flowers","BAL","WR13","9.9","58.8","0.5","81.9","1,168.3","6.5","1.5","161.7"
"Jadarian Price","SEA","RB25","215.2","912.2","7.6","26.0","220.1","1.1","2.0","161.5"
"David Montgomery","HOU","RB26","225.5","936.6","7.3","30.5","226.2","0.5","1.0","161.5"
"Tony Pollard","TEN","RB27","238.8","1,045.3","5.9","31.9","207.7","0.5","2.1","159.2"
"Emeka Egbuka","TB","WR14","1.4","7.3","0.0","72.9","1,097.1","7.5","0.3","155.0"
"Rico Dowdle","PIT","RB28","206.6","899.4","6.2","32.1","225.7","1.0","1.0","153.7"
"Davante Adams","LAR","WR15","0.0","0.0","0.0","68.5","926.1","10.2","0.2","153.5"
"J.K. Dobbins","DEN","RB29","218.2","1,021.1","6.6","17.7","94.3","0.6","0.7","152.9"
"Jameson Williams","DET","WR16","7.3","42.0","0.5","64.4","1,065.0","6.6","0.2","152.9"
"Malik Nabers","NYG","WR17","2.7","7.9","0.0","78.5","1,047.2","8.0","0.4","152.8"
"Tee Higgins","CIN","WR18","0.0","0.0","0.0","70.7","964.8","9.1","0.2","150.7"
"Jaylen Warren","PIT","RB30","188.0","825.9","4.8","42.0","320.6","1.5","0.9","150.6"
"Chuba Hubbard","CAR","RB31","207.0","834.2","5.4","36.4","260.4","1.8","1.4","150.0"
"Tetairoa McMillan","CAR","WR19","0.0","0.0","0.0","78.5","1,125.1","6.4","0.9","149.3"
"Rhamondre Stevenson","NE","RB32","168.8","733.6","6.5","36.8","309.8","1.6","2.1","149.1"
"DeVonta Smith","PHI","WR20","0.0","0.0","0.0","87.8","1,134.8","6.0","0.3","149.0"
"Brock Bowers","LV","TE1","0.0","0.0","0.0","96.5","1,025.0","7.5","0.2","147.2"
"Rome Odunze","CHI","WR21","0.3","1.3","0.0","63.4","980.1","8.1","0.3","146.4"
"Garrett Wilson","NYJ","WR22","1.1","4.3","0.0","96.4","1,090.2","6.4","1.0","145.8"
"Trey McBride","ARI","TE2","0.0","0.0","0.0","109.0","1,050.6","6.8","0.2","145.3"
"Alec Pierce","IND","WR23","0.0","0.0","0.0","63.8","1,049.7","6.5","0.3","143.6"
"Terry McLaurin","WAS","WR24","0.3","0.3","0.0","71.4","980.5","7.6","0.3","142.8"
"DJ Moore","BUF","WR25","10.3","54.0","0.5","69.1","899.6","7.0","0.8","138.6"
"Ladd McConkey","LAC","WR26","0.0","0.0","0.0","76.9","977.3","6.4","0.3","135.7"
"Luther Burden III","CHI","WR27","7.7","38.2","0.1","72.7","972.9","5.7","0.3","135.4"
"Jaylen Waddle","DEN","WR28","1.7","12.4","0.0","74.6","983.7","6.0","0.3","135.1"
"Courtland Sutton","DEN","WR29","0.0","0.0","0.0","69.4","902.9","7.5","0.2","135.0"
"Christian Watson","GB","WR30","1.7","8.0","0.0","56.0","901.0","7.4","0.3","134.8"
"Kyle Monangai","CHI","RB33","191.0","816.9","5.2","22.9","192.7","0.4","0.7","133.0"
"Jacory Croskey-Merritt","WAS","RB34","182.3","821.1","7.5","11.2","79.5","0.2","1.7","132.4"
"RJ Harvey","DEN","RB35","130.5","495.7","4.6","46.6","343.9","3.5","0.8","131.3"
"Colston Loveland","CHI","TE3","0.0","0.0","0.0","78.1","916.0","6.7","0.2","131.2"
"DK Metcalf","PIT","WR31","0.7","3.3","0.3","64.2","923.5","6.1","0.2","130.5"
"Marvin Harrison Jr.","ARI","WR32","0.0","0.0","0.0","67.3","944.9","6.0","0.3","130.0"
"Mike Evans","SF","WR33","0.0","0.0","0.0","64.2","900.7","6.7","0.2","129.6"
"Rachaad White","WAS","RB36","139.9","618.2","5.4","38.9","262.7","1.6","0.8","128.3"
"Aaron Jones Sr.","MIN","RB37","160.0","682.2","3.6","41.0","303.4","1.7","1.6","127.0"
"Blake Corum","LAR","RB38","167.7","801.5","6.4","11.9","80.4","0.2","0.7","126.7"
"Jordan Mason","MIN","RB39","181.7","827.8","5.8","14.5","75.8","0.1","1.0","123.9"
"Brian Thomas Jr.","JAC","WR34","2.7","18.0","0.4","55.7","838.0","5.3","0.2","119.7"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","82.7","871.3","5.4","0.3","119.1"
"Kenny Gainwell","TB","RB40","113.6","498.5","3.9","49.7","351.8","2.0","0.9","118.6"
"Jonathon Brooks","CAR","RB41","167.9","678.5","4.3","26.5","204.3","1.1","1.4","118.1"
"Parker Washington","JAC","WR35","5.3","13.6","0.1","60.9","844.0","5.4","0.4","117.8"
"Kyle Pitts Sr.","ATL","TE5","0.0","0.0","0.0","79.5","881.3","4.7","0.1","116.2"
"Quentin Johnston","LAC","WR36","1.7","6.3","0.0","53.6","756.3","6.9","0.7","116.2"
"Jakobi Meyers","JAC","WR37","4.7","23.0","0.1","70.6","814.8","5.4","0.8","115.1"
"Carnell Tate","TEN","WR38","0.7","3.0","0.0","66.3","902.7","4.5","1.4","115.1"
"Tucker Kraft","GB","TE6","0.0","0.0","0.0","59.9","770.1","6.4","0.2","115.0"
"Dallas Goedert","PHI","TE7","0.0","0.0","0.0","65.5","688.8","7.6","0.2","113.8"
"Jordan Addison","MIN","WR39","2.7","37.1","0.4","55.2","757.8","5.4","0.2","113.7"
"Sam LaPorta","DET","TE8","0.0","0.0","0.0","69.8","809.4","5.5","0.2","113.3"
"Jayden Reed","GB","WR40","12.0","86.6","0.1","62.8","757.3","4.8","0.4","113.2"
"Harold Fannin Jr.","CLE","TE9","0.0","0.0","0.0","78.3","814.4","5.4","0.8","112.2"
"Xavier Worthy","KC","WR41","15.5","99.3","0.9","55.2","721.6","4.2","0.2","112.1"
"Michael Pittman Jr.","PIT","WR42","0.0","0.0","0.0","80.5","803.4","5.0","0.3","109.5"
"Jordyn Tyson","NO","WR43","0.7","3.0","0.0","63.2","856.5","4.3","1.3","109.3"
"Michael Wilson","ARI","WR44","0.0","0.7","0.0","67.5","826.3","4.5","0.2","109.1"
