"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Jahmyr Gibbs","DET","274.4","1,381.0","13.8","70.9","580.3","4.1","1.1","301.7"
"Bijan Robinson","ATL","289.6","1,427.4","9.5","79.6","736.4","3.5","1.8","290.4"
"Jonathan Taylor","IND","327.4","1,509.8","12.9","45.1","338.2","1.5","1.7","267.4"
"Derrick Henry","BAL","314.0","1,568.7","13.4","17.8","172.2","0.7","1.7","255.3"
"Christian McCaffrey","SF","269.4","1,093.3","8.7","74.9","657.2","4.6","1.1","252.8"
"James Cook III","BUF","287.3","1,403.5","10.3","33.3","281.7","1.9","2.4","236.9"
"De'Von Achane","MIA","237.9","1,197.5","6.0","65.3","490.6","4.0","1.0","226.7"
"Saquon Barkley","PHI","295.9","1,311.3","8.2","41.7","330.4","2.1","1.0","224.2"
"Josh Jacobs","GB","288.8","1,161.3","12.0","35.7","283.6","1.2","1.3","221.2"
"Ashton Jeanty","LV","281.4","1,107.2","8.0","58.7","414.2","3.3","1.1","218.2"
"Chase Brown","CIN","239.4","1,040.5","7.5","64.4","430.2","3.9","1.1","213.3"
"Omarion Hampton","LAC","249.1","1,072.9","10.0","51.6","352.8","2.0","1.1","211.9"
"Kyren Williams","LAR","240.2","1,118.1","10.1","33.5","239.6","2.2","1.5","206.3"
"Breece Hall","NYJ","259.3","1,159.7","6.5","47.4","411.3","2.2","1.7","206.2"
"Kenneth Walker III","KC","255.7","1,158.1","8.3","45.1","347.1","1.2","0.9","206.1"
"Jeremiyah Love","ARI","238.3","1,078.7","7.2","54.4","419.3","2.1","2.2","201.3"
"Javonte Williams","DAL","255.5","1,157.4","10.4","33.0","192.1","1.2","1.6","200.9"
"Cam Skattebo","NYG","243.4","1,015.7","8.1","45.8","364.0","2.5","1.6","198.6"
"D'Andre Swift","CHI","233.1","1,053.1","8.1","34.8","299.9","1.0","1.0","187.9"
"Travis Etienne Jr.","NO","244.6","1,036.3","5.4","44.9","351.2","3.0","1.0","187.1"
"Bucky Irving","TB","256.5","1,020.9","6.1","39.9","336.2","2.3","1.0","183.9"
"Quinshon Judkins","CLE","289.1","1,104.1","8.1","31.3","218.3","0.6","0.9","182.4"
"Bhayshul Tuten","JAC","243.0","992.8","8.2","29.2","221.6","2.1","2.2","179.2"
"TreVeyon Henderson","NE","190.1","885.9","7.3","37.7","261.5","1.2","0.9","163.9"
"Jadarian Price","SEA","215.2","912.2","7.6","26.0","220.1","1.1","2.0","161.5"
"David Montgomery","HOU","225.5","936.6","7.3","30.5","226.2","0.5","1.0","161.5"
"Tony Pollard","TEN","238.8","1,045.3","5.9","31.9","207.7","0.5","2.1","159.2"
"Rico Dowdle","PIT","206.6","899.4","6.2","32.1","225.7","1.0","1.0","153.7"
"J.K. Dobbins","DEN","218.2","1,021.1","6.6","17.7","94.3","0.6","0.7","152.9"
"Jaylen Warren","PIT","188.0","825.9","4.8","42.0","320.6","1.5","0.9","150.6"
"Chuba Hubbard","CAR","207.0","834.2","5.4","36.4","260.4","1.8","1.4","150.0"
"Rhamondre Stevenson","NE","168.8","733.6","6.5","36.8","309.8","1.6","2.1","149.1"
"Kyle Monangai","CHI","191.0","816.9","5.2","22.9","192.7","0.4","0.7","133.0"
"Jacory Croskey-Merritt","WAS","182.3","821.1","7.5","11.2","79.5","0.2","1.7","132.4"
"RJ Harvey","DEN","130.5","495.7","4.6","46.6","343.9","3.5","0.8","131.3"
"Rachaad White","WAS","139.9","618.2","5.4","38.9","262.7","1.6","0.8","128.3"
"Aaron Jones Sr.","MIN","160.0","682.2","3.6","41.0","303.4","1.7","1.6","127.0"
"Blake Corum","LAR","167.7","801.5","6.4","11.9","80.4","0.2","0.7","126.7"
"Jordan Mason","MIN","181.7","827.8","5.8","14.5","75.8","0.1","1.0","123.9"
"Kenny Gainwell","TB","113.6","498.5","3.9","49.7","351.8","2.0","0.9","118.6"
"Jonathon Brooks","CAR","167.9","678.5","4.3","26.5","204.3","1.1","1.4","118.1"
"Zach Charbonnet","SEA","130.5","532.7","5.6","19.8","147.0","0.5","0.7","103.3"
"Woody Marks","HOU","142.6","555.4","2.7","24.0","197.7","1.8","0.8","100.3"
"Alvin Kamara","NO","127.9","491.9","2.8","35.1","242.8","1.3","0.8","96.3"
"Isiah Pacheco","DET","139.2","581.4","3.5","21.1","136.2","0.6","0.8","94.9"
"Tyrone Tracy Jr.","NYG","122.8","521.5","2.5","26.3","203.3","1.2","0.8","93.3"
"Tyjae Spears","TEN","92.1","368.0","2.9","45.9","305.2","1.2","0.7","90.5"
"Chris Rodriguez Jr.","JAC","133.8","553.4","5.1","5.4","42.5","0.1","0.6","89.4"
"Brian Robinson Jr.","ATL","129.8","564.6","4.3","6.9","43.0","0.1","0.7","86.2"
"Justice Hill","BAL","56.4","273.6","2.2","34.7","303.1","1.8","0.2","81.4"
"Tyler Allgeier","ARI","111.7","428.1","4.2","17.1","108.4","0.2","0.6","78.5"
"AJ Dillon","CAR","123.0","509.0","3.0","16.0","136.0","1.0","5.0","78.5"
"Samaje Perine","CIN","98.9","443.5","3.7","17.9","135.2","0.4","1.9","78.3"
"Jordan James","SF","97.9","397.7","3.0","16.1","142.0","0.7","1.2","73.8"
"Braelon Allen","NYJ","97.3","391.3","4.0","12.9","93.8","0.7","1.7","73.1"
"Dylan Sampson","CLE","73.5","253.8","1.3","35.9","284.2","2.1","1.2","71.9"
"Ty Johnson","BUF","51.6","218.7","2.0","24.9","250.7","2.1","0.2","71.4"
"Emari Demercado","KC","76.8","425.9","1.7","16.3","119.0","0.8","1.7","66.2"
"Kaelon Black","SF","93.7","369.3","3.0","8.5","76.2","0.6","1.1","64.0"
"Tank Bigsby","PHI","85.6","419.6","3.2","3.3","29.3","0.1","0.2","64.0"
"Mike Washington Jr.","LV","92.8","352.5","2.1","15.2","121.4","0.6","0.7","62.5"
"Keaton Mitchell","LAC","85.2","395.4","1.9","11.5","82.8","0.2","0.7","59.2"
"Malik Davis","DAL","79.6","373.1","2.7","6.6","52.3","0.1","0.1","59.1"
"Adam Randall","BAL","55.1","281.6","2.0","10.3","103.4","1.1","0.6","55.7"
"Chris Brooks","GB","72.7","323.3","1.3","15.4","107.5","0.3","0.6","51.5"
"Kimani Vidal","LAC","62.2","251.0","1.6","11.9","104.3","0.7","0.1","49.1"
"James Conner","ARI","42.5","155.0","1.5","18.0","131.0","1.0","0.0","43.6"
"Emanuel Wilson","SEA","69.7","289.5","1.7","7.7","52.1","0.0","0.5","43.5"
"Jaylen Wright","MIA","79.9","308.0","1.5","7.2","52.0","0.1","1.2","43.3"
"Jawhar Jordan","HOU","51.3","218.5","1.1","11.0","87.0","0.5","0.5","39.3"
"Jaydon Blue","DAL","48.7","205.0","1.5","8.8","61.8","0.4","0.2","37.7"
"MarShawn Lloyd","GB","50.6","211.7","1.6","6.5","48.5","0.3","0.2","36.7"
"Isaiah Davis","NYJ","35.1","174.6","1.2","9.9","78.2","0.2","0.1","33.4"
"George Holani","SEA","38.9","164.2","1.5","8.0","62.2","0.3","0.2","33.1"
"Frank Gore Jr.","BUF","37.0","174.0","2.0","3.0","26.0","0.0","0.0","32.0"
"Roschon Johnson","CHI","33.0","115.0","3.0","3.0","17.0","0.0","0.0","31.2"
"Ollie Gordon II","MIA","49.4","202.8","1.2","3.9","27.8","0.1","0.2","30.7"
"Sean Tucker","TB","38.8","163.8","2.2","1.5","10.2","0.0","0.1","30.7"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.2","202.2","1.5","0.1","30.5"
"Emmett Johnson","KC","39.7","165.1","1.3","5.2","41.1","0.2","0.1","29.3"
"Ray Davis","BUF","32.3","137.8","1.1","7.8","60.0","0.4","0.2","28.1"
"Jonah Coleman","DEN","24.6","101.9","0.8","13.1","94.1","0.6","0.2","27.6"
"DJ Giddens","IND","33.6","141.5","1.0","8.6","56.8","0.3","0.2","27.4"
"Ty Chandler","NO","51.0","138.0","1.0","12.0","57.0","0.0","0.0","25.5"
"Elijah Mitchell","PHI","35.0","159.0","1.0","2.0","22.0","0.0","0.0","24.1"
"Jam Miller","NE","34.0","156.0","1.0","2.0","25.0","0.0","0.0","24.1"
"LeQuint Allen Jr.","JAC","8.0","33.9","0.2","21.7","148.0","0.8","0.1","24.1"
"Phil Mafah","DAL","32.0","142.0","1.0","4.0","34.0","0.0","0.0","23.6"
"Salvon Ahmed","CHI","35.0","152.0","1.0","1.0","12.0","0.0","0.0","22.4"
"Jarquez Hunter","LAR","32.0","148.0","1.0","1.0","14.0","0.0","0.0","22.2"
"Dameon Pierce","PHI","35.0","161.0","1.0","0.0","0.0","0.0","0.0","22.1"
"Israel Abanikanda","DAL","32.0","147.0","1.0","1.0","14.0","0.0","0.0","22.1"
"Brashard Smith","KC","25.0","89.0","0.5","10.5","71.0","0.5","0.0","22.0"
"Donovan Edwards","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Carlos Washington Jr.","MIA","31.0","130.0","1.0","2.0","19.0","0.0","0.0","20.9"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","20.6"
"Najee Harris","LAC","28.0","126.0","1.0","2.0","18.0","0.0","0.0","20.4"
"Demond Claiborne","MIN","27.7","121.6","0.9","3.3","25.2","0.1","0.1","20.4"
"Jeremy McNichols","WAS","17.0","88.0","1.0","7.0","54.0","0.0","0.0","20.2"
"Seth McGowan","IND","22.3","97.1","1.2","3.2","26.9","0.1","0.0","20.0"
"Kaytron Allen","WAS","23.6","110.8","0.7","3.1","25.4","0.1","0.0","18.4"
"Tahj Brooks","CIN","30.6","129.4","0.9","0.0","0.0","0.0","0.1","18.3"
"Devin Neal","NO","22.5","89.5","1.0","2.5","17.5","0.0","0.0","16.7"
"Hunter Luepke","DAL","13.3","56.1","0.4","8.6","61.7","0.4","0.1","16.4"
"Will Shipley","PHI","9.3","39.6","0.3","11.3","83.5","0.4","0.1","16.2"
"Devin Singletary","NYG","22.3","89.2","0.6","4.2","26.3","0.1","0.1","15.6"
"Nicholas Singleton","TEN","20.3","83.4","0.6","4.3","29.9","0.2","0.1","15.4"
"Jerome Ford","WAS","17.5","97.0","0.5","4.0","23.5","0.0","0.0","15.1"
"Isaac Guerendo","SF","16.5","80.0","0.5","2.0","18.5","0.0","0.0","12.9"
"Michael Burton","CLE","6.6","13.8","0.6","5.1","33.2","0.6","0.0","11.4"
"Tyler Badie","DEN","4.1","17.7","0.1","8.0","65.5","0.4","0.1","11.1"
"Trevor Etienne","CAR","12.3","52.5","0.3","4.1","29.7","0.2","0.1","10.8"
"Andrew Beck","NYJ","0.5","4.0","0.0","4.6","31.6","1.1","0.0","10.2"
"Alec Ingold","LAC","2.1","8.6","0.1","7.9","58.3","0.2","0.1","8.4"
"Kendre Miller","NO","12.9","54.8","0.3","0.0","0.0","0.0","0.0","7.2"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.8","0.2","0.0","6.3"
"Connor Heyward","LV","4.2","17.6","0.1","4.0","28.9","0.2","0.0","6.3"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.4","0.2","0.0","5.1"
"Kaleb Johnson","PIT","8.6","35.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Reggie Gilliam","NE","0.0","0.0","0.0","4.1","29.8","0.2","0.0","3.8"
"Riley Nowakowski","PIT","0.0","0.0","0.0","4.3","29.1","0.2","0.0","3.8"
"Patrick Ricard","NYG","0.0","0.0","0.0","4.0","26.9","0.1","0.0","3.5"
"British Brooks","HOU","4.2","18.0","0.1","0.0","0.0","0.0","0.0","2.4"
"DeeJay Dallas","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kene Nwangwu","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bam Knight","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trey Benson","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jacob Saylors","DET","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Zavier Scott","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rasheen Ali","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dylan Laube","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Williams","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
