"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","96.5","1,025.0","7.5","0.2","147.2"
"Trey McBride","ARI","109.0","1,050.6","6.8","0.2","145.3"
"Colston Loveland","CHI","78.1","916.0","6.7","0.2","131.2"
"Tyler Warren","IND","82.7","871.3","5.4","0.3","119.1"
"Kyle Pitts Sr.","ATL","79.5","881.3","4.7","0.1","116.2"
"Tucker Kraft","GB","59.9","770.1","6.4","0.2","115.0"
"Dallas Goedert","PHI","65.5","688.8","7.6","0.2","113.8"
"Sam LaPorta","DET","69.8","809.4","5.5","0.2","113.3"
"Harold Fannin Jr.","CLE","78.3","814.4","5.4","0.8","112.2"
"Travis Kelce","KC","74.9","784.2","4.8","0.3","106.9"
"George Kittle","SF","64.5","726.0","5.4","0.2","104.8"
"Mark Andrews","BAL","58.3","607.7","7.4","0.3","104.5"
"Dalton Kincaid","BUF","56.8","701.6","5.5","0.2","102.6"
"Isaiah Likely","NYG","62.9","746.1","5.1","1.3","102.4"
"Hunter Henry","NE","56.3","651.7","5.4","0.1","97.4"
"Jake Ferguson","DAL","74.1","607.0","5.9","1.4","93.6"
"Brenton Strange","JAC","60.0","658.4","4.3","0.2","91.4"
"Juwan Johnson","NO","64.5","726.3","3.3","1.3","89.5"
"Dalton Schultz","HOU","65.8","629.8","3.4","0.2","82.8"
"Pat Freiermuth","PIT","53.0","558.0","4.3","0.2","80.9"
"Kenyon Sadiq","NYJ","51.1","558.1","4.1","0.7","78.9"
"Greg Dulcich","MIA","54.6","619.7","3.2","1.2","78.9"
"T.J. Hockenson","MIN","63.9","574.1","3.3","0.2","76.7"
"Terrance Ferguson","LAR","36.3","500.4","4.5","0.2","76.5"
"AJ Barner","SEA","48.6","469.6","4.9","0.2","75.8"
"Oronde Gadsden II","LAC","44.2","550.2","3.5","0.7","74.6"
"Cade Otton","TB","54.9","556.9","3.1","0.1","74.0"
"Chig Okonkwo","WAS","53.8","566.1","2.7","0.1","72.7"
"Mike Gesicki","CIN","44.0","461.2","3.9","0.1","69.1"
"Evan Engram","DEN","53.4","471.8","2.7","0.1","63.3"
"Gunnar Helm","TEN","48.9","443.1","3.1","0.2","62.5"
"Colby Parkinson","LAR","34.3","354.4","3.9","0.6","57.6"
"David Njoku","LAC","34.7","324.2","3.9","0.1","55.8"
"Mason Taylor","NYJ","44.5","390.9","2.4","0.1","53.2"
"Dawson Knox","BUF","28.7","328.7","2.9","0.1","50.3"
"Michael Mayer","LV","40.0","377.4","2.1","0.1","50.1"
"Theo Johnson","NYG","27.6","314.7","2.9","0.1","48.6"
"Tyler Higbee","LAR","26.1","306.5","2.4","0.0","45.1"
"Darnell Washington","PIT","30.7","327.7","2.0","0.6","43.3"
"Cole Kmet","CHI","25.9","271.4","2.2","0.1","40.4"
"Ja'Tavion Sanders","CAR","29.4","264.6","2.0","0.1","38.4"
"Tommy Tremble","CAR","26.6","253.7","2.0","0.1","37.0"
"Noah Fant","NO","30.4","285.0","1.7","1.6","35.3"
"Will Kacmarek","MIA","26.6","250.8","1.9","0.6","35.2"
"Charlie Kolar","LAC","20.2","230.0","2.0","0.1","35.1"
"Elijah Arroyo","SEA","23.6","240.1","1.9","0.2","34.8"
"Josh Oliver","MIN","18.6","193.9","2.4","0.1","33.5"
"Austin Hooper","ATL","22.5","236.7","1.6","0.1","33.2"
"Daniel Bellinger","TEN","19.3","222.3","1.7","0.0","32.6"
"Erick All Jr.","CIN","26.1","228.4","1.6","0.1","32.4"
"Brock Wright","DET","19.4","175.2","2.3","0.0","31.3"
"Eli Stowers","PHI","22.7","232.5","1.5","0.6","31.2"
"Noah Gray","KC","21.0","211.2","1.5","0.1","29.8"
"Adam Trautman","DEN","19.4","194.0","1.5","0.0","28.2"
"Luke Musgrave","GB","21.7","211.6","1.2","0.0","28.1"
"Eli Raridon","NE","18.8","195.8","1.5","0.6","27.7"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","26.9"
"John Bates","WAS","18.4","173.3","1.5","0.6","25.4"
"Ben Sims","MIA","19.5","184.2","1.2","0.0","25.4"
"Marlin Klein","HOU","19.5","193.6","1.1","0.5","25.0"
"Jake Tonges","SF","16.7","167.3","1.4","0.0","24.8"
"Elijah Higgins","ARI","22.0","196.1","0.8","0.6","23.5"
"Mitchell Evans","CAR","15.0","138.6","1.5","0.1","22.6"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","22.3"
"Nate Boerkircher","JAC","14.9","155.8","1.3","0.5","22.2"
"Jeremy Ruckert","NYJ","19.7","145.8","1.3","0.0","22.1"
"Nick Vannett","SEA","10.0","95.0","2.0","0.0","21.5"
"Drew Sample","CIN","17.3","146.3","1.2","0.1","21.3"
"Jackson Hawes","BUF","10.6","115.1","1.4","0.0","20.1"
"Ben Sinnott","WAS","11.8","116.0","1.4","0.0","19.8"
"Nate Adkins","DEN","11.9","88.3","1.8","0.0","19.8"
"Will Mallory","IND","11.0","125.0","1.0","0.0","18.5"
"Jack Endries","CIN","13.0","123.0","1.0","0.0","18.3"
"Foster Moreau","HOU","9.3","105.6","1.3","0.0","18.3"
"Cade Stover","HOU","15.2","128.1","0.9","0.1","17.9"
"Hayden Rucci","SF","12.0","118.0","1.0","0.0","17.8"
"Luke Schoonmaker","DAL","13.2","121.6","0.9","0.0","17.8"
"Grant Calcaterra","PHI","11.0","115.0","1.0","0.0","17.5"
"Teagan Quitoriano","ARI","12.0","108.0","1.0","0.0","16.8"
"Rivaldo Fairweather","ARI","12.0","108.0","1.0","0.0","16.8"
"Zaire Mitchell-Paden","NO","11.0","107.0","1.0","0.0","16.7"
"Mo Alie-Cox","IND","10.8","111.0","0.9","0.1","16.3"
"Charlie Woerner","ATL","14.5","127.3","0.6","0.0","16.2"
"Tanner Hudson","CIN","13.1","110.3","0.9","0.1","16.2"
"Jaheim Bell","PIT","10.0","98.0","1.0","0.0","15.8"
"Jaren Kanak","TEN","10.0","96.0","1.0","0.0","15.6"
"Jared Wiley","KC","11.0","95.0","1.0","0.0","15.5"
"Drake Dabney","GB","9.0","94.0","1.0","0.0","15.4"
"Zack Kuntz","LV","9.0","87.0","1.0","0.0","14.7"
"Durham Smythe","BAL","9.8","94.1","0.7","0.1","13.8"
"Max Klare","LAR","7.5","82.6","0.7","0.0","12.3"
"Devin Culp","TB","5.5","59.0","1.0","0.0","11.9"
"Oscar Delp","NO","7.5","75.7","0.6","0.0","11.3"
"Tanner Koziol","JAC","7.0","73.3","0.6","0.0","11.1"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","11.1"
"Justin Joly","DEN","8.0","71.4","0.7","0.0","11.0"
"Payne Durham","TB","7.2","70.7","0.6","0.1","10.7"
"Josh Cuevas","BAL","5.7","66.4","0.6","0.0","10.5"
"Hunter Long","JAC","5.0","44.5","1.0","0.0","10.5"
"Tip Reiman","ARI","7.9","62.2","0.6","0.0","9.8"
"Jack Stoll","CLE","7.3","62.7","0.6","0.0","9.7"
"Joe Royer","CLE","7.5","67.3","0.3","0.1","8.7"
"Chris Manhertz","NYG","5.4","51.2","0.6","0.0","8.5"
"Luke Farrell","SF","4.2","40.7","0.3","0.0","5.8"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","5.4"
"CJ Dippre","NE","3.9","37.3","0.3","0.0","5.3"
"Tyler Conklin","DET","3.7","38.0","0.3","0.0","5.2"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","5.2"
"Drew Ogletree","IND","3.7","35.4","0.3","0.0","5.0"
"Sam Roush","CHI","3.7","33.8","0.3","0.0","5.0"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","4.8"
"Ian Thomas","LV","3.8","35.9","0.2","0.0","4.5"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Lucas Krull","DEN","0.0","0.0","0.0","0.0","0.0"
"Blake Whiteheart","CLE","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
