"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1,539.0","9.0","13.6","85.0","1.4","1.0","222.8"
"Ja'Marr Chase","CIN","121.2","1,510.4","10.6","3.0","17.0","0.0","1.0","214.4"
"Jaxon Smith-Njigba","SEA","110.9","1,568.4","9.2","5.5","30.4","0.1","1.1","213.1"
"Amon-Ra St. Brown","DET","117.0","1,390.5","10.5","3.1","11.8","0.0","0.4","202.5"
"Drake London","ATL","101.7","1,328.5","9.4","0.0","0.0","0.0","1.0","187.5"
"CeeDee Lamb","DAL","97.6","1,297.3","7.5","2.4","12.5","0.0","0.3","175.7"
"Rashee Rice","KC","98.8","1,099.0","9.7","5.4","25.5","0.9","0.6","174.6"
"Justin Jefferson","MIN","98.6","1,302.2","6.8","1.3","5.5","0.0","0.3","171.0"
"George Pickens","DAL","82.7","1,202.1","8.4","0.3","-0.3","0.0","0.5","169.6"
"A.J. Brown","NE","88.7","1,234.4","7.6","0.0","0.0","0.0","0.3","168.7"
"Nico Collins","HOU","82.5","1,212.5","7.2","1.4","8.3","0.4","0.8","166.0"
"Chris Olave","NO","94.2","1,169.2","7.8","0.3","0.0","0.0","0.3","163.2"
"Zay Flowers","BAL","81.9","1,168.3","6.5","9.9","58.8","0.5","1.5","161.7"
"Emeka Egbuka","TB","72.9","1,097.1","7.5","1.4","7.3","0.0","0.3","155.0"
"Davante Adams","LAR","68.5","926.1","10.2","0.0","0.0","0.0","0.2","153.5"
"Jameson Williams","DET","64.4","1,065.0","6.6","7.3","42.0","0.5","0.2","152.9"
"Malik Nabers","NYG","78.5","1,047.2","8.0","2.7","7.9","0.0","0.4","152.8"
"Tee Higgins","CIN","70.7","964.8","9.1","0.0","0.0","0.0","0.2","150.7"
"Tetairoa McMillan","CAR","78.5","1,125.1","6.4","0.0","0.0","0.0","0.9","149.3"
"DeVonta Smith","PHI","87.8","1,134.8","6.0","0.0","0.0","0.0","0.3","149.0"
"Rome Odunze","CHI","63.4","980.1","8.1","0.3","1.3","0.0","0.3","146.4"
"Garrett Wilson","NYJ","96.4","1,090.2","6.4","1.1","4.3","0.0","1.0","145.8"
"Alec Pierce","IND","63.8","1,049.7","6.5","0.0","0.0","0.0","0.3","143.6"
"Terry McLaurin","WAS","71.4","980.5","7.6","0.3","0.3","0.0","0.3","142.8"
"DJ Moore","BUF","69.1","899.6","7.0","10.3","54.0","0.5","0.8","138.6"
"Ladd McConkey","LAC","76.9","977.3","6.4","0.0","0.0","0.0","0.3","135.7"
"Luther Burden III","CHI","72.7","972.9","5.7","7.7","38.2","0.1","0.3","135.4"
"Jaylen Waddle","DEN","74.6","983.7","6.0","1.7","12.4","0.0","0.3","135.1"
"Courtland Sutton","DEN","69.4","902.9","7.5","0.0","0.0","0.0","0.2","135.0"
"Christian Watson","GB","56.0","901.0","7.4","1.7","8.0","0.0","0.3","134.8"
"DK Metcalf","PIT","64.2","923.5","6.1","0.7","3.3","0.3","0.2","130.5"
"Marvin Harrison Jr.","ARI","67.3","944.9","6.0","0.0","0.0","0.0","0.3","130.0"
"Mike Evans","SF","64.2","900.7","6.7","0.0","0.0","0.0","0.2","129.6"
"Brian Thomas Jr.","JAC","55.7","838.0","5.3","2.7","18.0","0.4","0.2","119.7"
"Parker Washington","JAC","60.9","844.0","5.4","5.3","13.6","0.1","0.4","117.8"
"Quentin Johnston","LAC","53.6","756.3","6.9","1.7","6.3","0.0","0.7","116.2"
"Jakobi Meyers","JAC","70.6","814.8","5.4","4.7","23.0","0.1","0.8","115.1"
"Carnell Tate","TEN","66.3","902.7","4.5","0.7","3.0","0.0","1.4","115.1"
"Jordan Addison","MIN","55.2","757.8","5.4","2.7","37.1","0.4","0.2","113.7"
"Jayden Reed","GB","62.8","757.3","4.8","12.0","86.6","0.1","0.4","113.2"
"Xavier Worthy","KC","55.2","721.6","4.2","15.5","99.3","0.9","0.2","112.1"
"Michael Pittman Jr.","PIT","80.5","803.4","5.0","0.0","0.0","0.0","0.3","109.5"
"Jordyn Tyson","NO","63.2","856.5","4.3","0.7","3.0","0.0","1.3","109.3"
"Michael Wilson","ARI","67.5","826.3","4.5","0.0","0.7","0.0","0.2","109.1"
"Chris Godwin Jr.","TB","67.8","773.2","5.2","0.3","0.3","0.0","0.3","107.9"
"Rashid Shaheed","SEA","49.9","754.8","3.8","13.4","88.9","0.3","0.8","106.8"
"Wan'Dale Robinson","TEN","83.0","833.8","3.6","2.0","9.5","0.1","0.3","105.9"
"Makai Lemon","PHI","56.8","798.2","4.6","1.5","7.0","0.0","1.3","105.6"
"Deebo Samuel Sr.","SF","54.5","631.9","4.2","29.1","111.7","1.1","0.4","105.1"
"Calvin Ridley","TEN","48.1","784.8","3.3","4.5","27.5","0.6","0.2","104.3"
"Romeo Doubs","NE","56.7","735.1","5.2","0.0","0.0","0.0","0.3","104.2"
"Matthew Golden","GB","54.9","731.0","4.2","5.5","27.3","0.1","0.4","100.9"
"Khalil Shakir","BUF","72.4","748.1","4.2","1.1","5.5","0.0","0.8","99.4"
"Josh Downs","IND","75.9","736.4","4.3","1.4","4.3","0.0","0.8","98.4"
"John Metchie III","CAR","65.0","617.0","6.0","3.0","-4.0","0.0","0.0","97.7"
"Theo Wease Jr.","MIA","48.0","685.0","5.0","2.0","8.0","0.0","1.0","97.3"
"Jalen Coker","CAR","57.6","697.5","4.6","0.0","0.0","0.0","0.8","95.7"
"Rashod Bateman","BAL","38.4","594.5","6.0","0.0","0.0","0.0","0.2","95.0"
"Tre Tucker","LV","50.1","633.7","3.8","11.2","52.9","0.2","0.1","91.9"
"Tank Dell","HOU","50.0","633.0","3.8","10.2","48.8","0.1","0.2","91.4"
"Jerry Jeudy","CLE","54.2","744.8","2.9","0.5","2.0","0.0","0.7","90.3"
"KC Concepcion","CLE","55.6","706.3","3.1","4.2","22.4","0.1","1.3","89.6"
"Jayden Higgins","HOU","49.3","608.3","4.7","0.0","0.0","0.0","0.2","88.7"
