QUARTERBACK PPR PROJECTIONS,,,,,,RUNNING BACK PPR PROJECTIONS,,,,,,WIDE RECEIVER PPR PROJECTIONS (SEASON LONG),,,,,,TIGHT END PPR PROJECTIONS (SEASON LONG),,,,,
Rank,Quarterback,Projection,FPPG,TOT YPG,TD/G,Rank,Running Back,Projection,FPPG,TOT YPG,TD/G,Rank,Wide Receiver,Projection,FPPG,TOT YPG,TD/G,Rank,Tight End,Projection,FPPG,YPG,TOT YPG
1,JOSH ALLEN,381,23.8,268.9,2.7,1,CHRISTIAN MCCAFFREY,379.5,23.7,119.1,1.1,1,PUKA NACUA,380,22.4,98.0,0.9,1,TREY MCBRIDE,269,15.8,62.7,0.5
2,LAMAR JACKSON,335,20.9,248.4,2.3,2,BIJAN ROBINSON,374.4,23.4,126.2,1.1,2,JA'MARR CHASE,370,21.8,91.8,0.8,2,BROCK BOWERS,247,14.6,61.2,0.4
3,JAYDEN DANIELS,331,20.7,246.2,2.1,3,JAHMYR GIBBS,347.7,21.7,111.0,1.1,3,AMON-RA ST BROWN,310,18.3,75.6,0.7,3,TYLER WARREN,236,13.9,56.3,0.5
4,DRAKE MAYE,328,20.5,243.9,2.2,4,JAMES COOK,321.2,20.1,104.6,1.2,4,JAXON SMITH-NJIGBA,299,17.6,80.9,0.6,4,TRAVIS KELCE,207,12.1,49.7,0.4
5,JOE BURROW,307,19.2,272.8,2.1,5,CHASE BROWN,292.5,18.3,85.0,0.9,5,CEEDEE LAMB,282,16.6,73.5,0.6,5,COLSTON LOVELAND,201,11.8,48.4,0.5
6,PAT MAHOMES ,307,19.2,255.5,2.1,6,JONATHAN TAYLOR,289.1,18.1,99.4,1.0,6,RASHEE RICE,273,16.1,66.7,0.6,6,MARK ANDREWS,196,11.6,46.1,0.4
7,JALEN HURTS,305,19.0,231.0,2.0,7,DE'VON ACHANE,286.6,17.9,94.8,0.6,7,JUSTIN JEFFERSON,270,15.9,71.4,0.6,7,DALTON KINCAID,192,11.3,46.1,0.5
8,CALEB WILLIAMS,303,18.9,243.2,2.1,8,DERRICK HENRY,277.7,17.4,98.7,1.1,8,GEORGE PICKENS,267,15.7,72.3,0.6,8,KYLE PITTS SR,189,11.1,47.8,0.3
9,JAXSON DART,303,18.9,237.3,2.0,9,OMARION HAMPTON,275.8,17.2,89.6,0.9,9,NICO COLLINS,258,15.2,71.3,0.6,9,HAROLD FANNIN JR,183,10.8,43.8,0.3
10,JORDAN LOVE,301,18.8,247.9,2.2,10,ASHTON JEANTY,274.5,17.2,95.5,0.7,10,AJ BROWN,254,14.9,65.3,0.6,10,JAKE FERGUSON,176,10.3,36.8,0.3
11,BO NIX,300,18.8,243.4,2.0,11,JOSH JACOBS,269.5,16.8,88.1,1.0,11,TETAIROA MCMILLAN,252,14.8,67.7,0.5,11,TUCKER KRAFT,170,10.0,43.5,0.4
12,DAK PRESCOTT,299,18.7,253.5,2.1,12,SAQUON BARKLEY,261.2,16.3,93.1,0.8,12,DRAKE LONDON,248,14.6,64.8,0.5,12,SAM LAPORTA,167,9.8,42.0,0.3
13,JUSTIN HERBERT,298,18.6,241.5,2.0,13,KYREN WILLIAMS,252.0,15.7,77.9,0.9,13,CHRIS OLAVE,248,14.6,64.3,0.4,13,CHIG OKONKWO,163,9.6,38.7,0.3
14,BROCK PURDY,293,18.3,244.6,2.1,14,KENNETH WALKER III,247.1,15.4,81.9,0.8,14,DEVONTA SMITH,247,14.6,67.2,0.5,14,DALTON SCHULTZ,161,9.5,38.0,0.3
15,TREVOR LAWRENCE,288,18.0,234.6,1.9,15,JAVONTE WILLIAMS,221.1,13.8,74.9,0.8,15,DJ MOORE,243,14.3,63.1,0.5,15,GEORGE KITTLE,151,8.9,37.6,0.3
16,MATTHEW STAFFORD,284,17.8,257.5,2.0,16,BREECE HALL,220.8,13.8,85.5,0.6,16,JAYLEN WADDLE,239,14.0,64.1,0.5,16,HUNTER HENRY,147,8.7,37.0,0.3
17,CJ STROUD,273,17.1,242.8,1.8,17,CHUBA HUBBARD,216.4,13.5,76.7,0.6,17,TERRY MCLAURIN,238,14.0,64.5,0.5,17,ISAIAH LIKELY,145,8.6,36.1,0.3
18,KYLER MURRAY,266,16.6,229.4,1.8,18,BUCKY IRVING,214.5,13.4,76.4,0.7,18,TEE HIGGINS,235,13.8,62.1,0.5,18,TJ HOCKENSON,141,8.3,33.6,0.2
19,JARED GOFF,262,16.4,241.1,1.8,19,JADARIAN PRICE,211.0,13.2,77.2,0.7,19,ZAY FLOWERS,218,12.8,60.8,0.4,19,AJ BARNER,139,8.2,32.2,0.3
20,DANIEL JONES,258,16.1,233.8,1.8,20,TRAVIS ETIENNE JR,205.1,12.8,72.3,0.6,20,GARRETT WILSON,213,12.6,56.2,0.3,20,BRENTON STRANGE ,134,7.9,32.3,0.3
21,TYLER SHOUGH,243,15.2,219.1,1.6,21,TREVEYON HENDERSON,203.9,12.7,65.4,0.6,21,MIKE EVANS,209,12.3,52.9,0.5,21,DALLAS GOEDERT,134,7.9,30.8,0.3
22,MALIK WILLIS,241,15.1,213.6,1.5,22,D'ANDRE SWIFT,202.2,12.6,67.5,0.6,22,CHRISTIAN WATSON,208,12.2,58.8,0.5,22,ORONDE GADSDEN II,129,7.6,33.8,0.3
23,BRYCE YOUNG,239,15.0,217.9,1.6,23,QUINSHON JUDKINS,184.2,11.5,75.4,0.5,23,EMEKA EGBUKA,207,12.2,58.3,0.4,23,MIKE GESICKI,128,7.5,31.1,0.2
24,BAKER MAYFIELD,236,14.8,225.8,1.6,24,JAYLEN WARREN,183.0,11.4,64.2,0.5,24,COURTLAND SUTTON,207,12.2,56.3,0.4,24,JUWAN JOHNSON,127,7.5,32.2,0.2
25,SAM DARNOLD,234,14.6,214.1,1.6,25,JEREMIYAH LOVE,182.7,11.4,66.0,0.5,25,DAVANTE ADAMS,203,12.0,51.5,0.5,25,CADE OTTON,127,7.5,30.8,0.2
26,JACOBY BRISSETT,223,13.9,219.2,1.5,26,CAM SKATTEBO,172.5,10.8,61.2,0.5,26,MALIK NABERS,203,11.9,51.6,0.5,26,DAVID NJOKU,121,7.1,27.0,0.2
27,CAM WARD,218,13.6,214.8,1.4,27,JACORY CROSKEY-MERRITT,169.9,10.6,58.5,0.5,27,ROME ODUNZE,202,11.9,55.1,0.4,27,PAT FREIERMUTH,113,6.6,28.3,0.2
28,AARON RODGERS,215,13.5,217.5,1.4,28,AARON JONES SR,164.7,10.3,56.6,0.4,28,MICHAEL PITTMAN JR,200,11.8,51.0,0.3,28,MASON TAYLOR,112,6.6,25.4,0.2
29,MICHAEL PENIX JR,205,12.8,214.7,1.5,29,BHAYSHUL TUTEN,159.2,9.9,56.9,0.5,29,MARVIN HARRISON JR,198,11.7,56.3,0.4,29,EVAN ENGRAM,105,6.2,24.8,0.2
30,GENO SMITH,194,12.1,201.5,1.2,30,RHAMONDRE STEVENSON,157.4,9.8,53.9,0.5,30,DK METCALF,194,11.4,55.2,0.4,30,GREG DULCICH,103,6.0,26.6,0.2
31,SHEDEUR SANDERS,179,11.2,177.9,1.1,31,RJ HARVEY,156.6,9.8,50.5,0.4,31,JOSH DOWNS,193,11.3,48.4,0.3,31,GUNNAR HELM,90,5.3,20.5,0.1
32,KIRK COUSINS,153,9.6,148.1,0.9,32,ALVIN KAMARA,148.4,9.3,46.0,0.3,32,JAKOBI MEYERS,193,11.3,49.5,0.4,32,KENYON SADIQ,87,5.1,21.5,0.1
33,FERNANDO MENDOZA,120,7.5,0.0,0.3,33,RACHAAD WHITE,148.4,9.3,46.3,0.4,33,ALEC PIERCE,190,11.2,57.4,0.4,33,DARNELL WASHINGTON,86,5.1,21.8,0.2
34,MAC JONES,116,7.2,0.0,0.0,34,DAVID MONTGOMERY,148.1,9.3,52.5,0.5,34,LADD MCCONKEY,184,10.8,49.5,0.3,34,DAWSON KNOX,85,5.0,19.4,0.2
35,TANNER MCKEE,96,6.0,0.0,0.0,35,TONY POLLARD,145.7,9.1,56.9,0.4,35,CHRIS GODWIN,184,10.8,47.3,0.3,35,COLE KMET,79,4.6,20.3,0.1
36,DREW LOCK,96,6.0,0.0,0.0,36,RICO DOWDLE,143.2,8.9,49.9,0.4,36,JAMESON WILLIAMS,177,10.4,52.8,0.3,36,THEO JOHNSON,74,4.4,19.1,0.1
37,MARCUS MARIOTA,93,5.8,0.0,0.0,37,WOODY MARKS,132.7,8.3,43.0,0.4,37,CARNELL TATE,173,10.2,47.2,0.3,37,COLBY PARKINSON,73,4.3,18.0,0.1
38,JAKE BROWNING,92,5.8,0.0,0.0,38,ZACH CHARBONNET,131.1,8.2,47.3,0.4,38,LUTHER BURDEN III,171,10.1,47.3,0.3,38,JA'TAVION SANDERS,72,4.2,16.4,0.1
39,MASON RUDOLPH,89,5.6,0.0,0.0,39,JK DOBBINS,129.3,8.1,47.5,0.5,39,BRIAN THOMAS JR,169,10.0,47.3,0.3,39,NOAH GRAY,61,3.6,14.6,0.1
40,MITCHELL TRUBISKY,75,4.7,0.0,0.0,40,BLAKE CORUM,126.1,7.9,40.9,0.5,40,WAN'DALE ROBINSON,169,9.9,43.1,0.2,40,TOMMY TREMBLE,59,3.5,14.4,0.1
,,,,,,41,KYLE MONANGAI,123.9,7.7,43.6,0.4,41,JORDYN TYSON,168,9.9,45.7,0.3,41,ELI STOWERS,53,3.1,12.3,0.1
,,,,,,42,JORDAN MASON,120.7,7.5,45.1,0.4,42,MALIK WASHINGTON,167,9.8,41.4,0.2,42,JAKE TONGES,53,3.1,11.8,0.1
,,,,,,43,KENNETH GAINWELL,118.7,7.4,39.8,0.3,43,KHALIL SHAKIR,166,9.8,42.4,0.3,43,MICHAEL MAYER,50,2.9,11.9,0.1
,,,,,,44,TYRONE TRACY JR,111.9,7.0,38.3,0.3,44,MICHAEL WILSON,164,9.6,46.8,0.2,44,TYLER HIGBEE,50,2.9,12.9,0.1
,,,,,,45,TYJAE SPEARS,105.8,6.6,35.6,0.2,45,JAYDEN REED,163,9.6,44.7,0.3,45,NOAH FANT,38,2.2,9.3,0.1
,,,,,,46,CHRIS RODRIGUEZ JR,92.5,5.8,34.2,0.3,46,QUENTIN JOHNSTON,158,9.3,42.8,0.3,46,DREW SAMPLE,38,2.2,8.1,0.1
,,,,,,47,DYLAN SAMPSON,86.2,5.4,28.5,0.2,47,MATTHEW GOLDEN,158,9.3,42.3,0.3,47,JOSH OLIVER,33,1.9,8.4,0.0
,,,,,,48,JUSTICE HILL,83.1,5.2,24.1,0.2,48,XAVIER WORTHY,151,8.9,44.7,0.3,48,DANIEL BELLINGER,30,1.8,8.2,0.0
,,,,,,49,ISIAH PACHECO,72.9,4.6,25.0,0.3,49,RASHOD BATEMAN,147,8.7,38.3,0.3,49,MO ALIE-COX,29,1.7,6.8,0.1
,,,,,,50,JONATHAN BROOKS,72.2,4.5,25.0,0.2,50,TANK DELL,146,8.6,41.4,0.2,50,JOHN BATES,28,1.6,6.5,0.1
,,,,,,51,TYLER ALLGEIER,66.2,4.1,25.9,0.2,51,MAKAI LEMON,146,8.6,40.3,0.3,51,ERIC SAUBERT,27,1.6,6.2,0.0
,,,,,,52,KEATON MITCHELL,65.1,4.1,21.1,0.2,52,PARKER WASHINGTON,145,8.5,40.9,0.3,52,PAYNE DURHAM,26,1.6,6.6,0.0
,,,,,,53,SAMAJE PERINE,63.1,3.9,19.4,0.2,53,JALEN COKER,144,8.5,39.0,0.3,53,ELI RARIDON,26,1.5,6.5,0.0
,,,,,,54,TANK BIGSBY,62.4,3.9,22.3,0.2,54,JAYDEN HIGGINS,141,8.3,39.1,0.2,54,AUSTIN HOOPER,26,1.5,7.4,0.0
,,,,,,55,BRAELON ALLEN,60.7,3.8,23.3,0.2,55,JORDAN ADDISON,137,8.1,43.1,0.2,55,BLAKE WHITEHEART,23,1.4,5.5,0.0
,,,,,,56,BRIAN ROBINSON,57.9,3.6,19.7,0.2,56,JALEN MCMILLAN,135,8.0,37.4,0.2,56,ADAM TRAUTMAN,22,1.3,5.6,0.0
,,,,,,57,MARSHAWN LLOYD,52.6,3.3,16.5,0.2,57,OMAR COOPER JR,134,7.9,37.1,0.2,57,JOSH WHYLE,21,1.2,4.7,0.0
,,,,,,58,EMARI DEMERCADO,51.4,3.2,14.8,0.1,58,JALEN TOLBERT,127,7.4,35.3,0.2,58,DURHAM SMYTHE,20,1.2,4.5,0.0
,,,,,,59,JORDAN JAMES,50.9,3.2,17.4,0.2,59,TRE TUCKER,125,7.4,35.1,0.2,59,BEN SIMS,20,1.2,4.8,0.0
,,,,,,60,JAYDON BLUE,47.7,3.0,15.7,0.2,60,JAUAN JENNINGS,124,7.3,33.6,0.2,60,BREVYN SPANN-FORD,19,1.1,4.9,0.0
,,,,,,61,KAELON BLACK,47.5,3.0,15.6,0.2,61,KC CONCEPCION,123,7.3,34.7,0.2,61,NATE BOERKIRCHER,18,1.0,4.3,0.0
,,,,,,62,MIKE WASHINGTON JR,46.7,2.9,17.3,0.1,62,ROMEO DOUBS,122,7.2,33.7,0.2,62,ELIJAH HIGGINS,17,1.0,4.3,0.0
,,,,,,63,CHRIS BROOKS,46.1,2.9,14.1,0.1,63,ANTONIO WILLIAMS,121,7.1,33.3,0.2,63,FOSTER MOREAU,14,0.8,3.5,0.0
,,,,,,64,OLLIE GORDON II,45.4,2.8,16.2,0.1,64,COOPER KUPP,121,7.1,32.2,0.2,64,BROCK WRIGHT,11,0.6,2.4,0.0
,,,,,,65,DJ GIDDENS,44.9,2.8,15.5,0.1,65,JERRY JEUDY,121,7.1,34.7,0.2,,,,,,
,,,,,,66,TY JOHNSON,39.2,2.4,12.1,0.1,66,RICKY PEARSALL,118,7.0,35.3,0.2,,,,,,
,,,,,,67,LEQUINT ALLEN JR,38.4,2.4,11.5,0.1,67,CHRISTIAN KIRK,117,6.9,29.4,0.2,,,,,,
,,,,,,68,DEVIN NEAL,34.0,2.1,10.5,0.1,68,CALVIN RIDLEY,116,6.8,34.9,0.2,,,,,,
,,,,,,69,JAYLEN WRIGHT,33.2,2.1,11.3,0.1,69,RASHID SHAHEED,116,6.8,31.1,0.2,,,,,,
,,,,,,70,EMMETT JOHNSON,33.0,2.1,6.5,0.1,70,DENZEL BOSTON,112,6.6,31.0,0.2,,,,,,
,,,,,,71,SEAN TUCKER,31.5,2.0,12.7,0.1,71,DARIUS SLAYTON,108,6.4,31.9,0.2,,,,,,
,,,,,,72,GEORGE HOLANI,30.3,1.9,11.9,0.1,72,XAVIER LEGETTE,103,6.0,27.7,0.1,,,,,,
,,,,,,73,KAYTRON ALLEN,30.2,1.9,12.0,0.1,73,JALEN NAILOR,100,5.9,29.6,0.1,,,,,,
,,,,,,74,KIMANI VIDAL,29.9,1.9,8.8,0.1,74,ANDREI IOSIVAS,96,5.6,27.0,0.1,,,,,,
,,,,,,75,JAMES CONNER,29.7,1.9,7.6,0.1,75,DARNELL MOONEY,90,5.3,25.5,0.2,,,,,,
,,,,,,76,ISAIAH DAVIS,29.7,1.9,9.7,0.1,76,RYAN FLOURNOY,89,5.2,24.5,0.1,,,,,,
,,,,,,77,DEVIN SINGLETARY,26.0,1.6,6.8,0.1,77,TRE HARRIS,88,5.1,22.5,0.2,,,,,,
,,,,,,78,TREVOR ETIENNE,23.4,1.5,7.5,0.1,78,TYQUAN THORNTON,87,5.1,26.7,0.2,,,,,,
,,,,,,79,NICHOLAS SINGLETON,20.3,1.3,8.8,0.1,79,GERMIE BERNARD,87,5.1,23.9,0.1,,,,,,
,,,,,,80,MALIK DAVIS,19.1,1.2,7.0,0.1,80,TUTU ATWELL,85,5.0,25.7,0.2,,,,,,
,,,,,,81,KALEB JOHNSON ,17.3,1.1,7.0,0.1,81,DONTAYVION WICKS,84,5.0,21.5,0.1,,,,,,
,,,,,,82,JONAH COLEMAN,16.9,1.1,4.7,0.1,82,TRAVIS HUNTER,83,4.9,21.5,0.2,,,,,,
,,,,,,83,JAWHAR JORDAN,16.2,1.0,6.2,0.1,83,NICK WESTBROOK-IKHINE,83,4.9,22.5,0.1,,,,,,
,,,,,,84,SETH MCGOWAN,14.2,0.9,5.5,0.1,84,ADONAI MITCHELL,82,4.8,23.4,0.1,,,,,,
,,,,,,85,TAHJ BROOKS,11.6,0.7,4.0,0.1,85,DE'ZHAUN STRIBLING,82,4.8,21.2,0.2,,,,,,
,,,,,,86,SIONE VAKI,10.5,0.7,3.9,0.0,86,TROY FRANKLIN,79,4.7,20.3,0.1,,,,,,
,,,,,,87,RAHEIM SANDERS,10.4,0.6,4.7,0.0,87,PAT BRYANT,76,4.4,20.3,0.1,,,,,,
,,,,,,88,WILL SHIPLEY,9.7,0.6,3.9,0.0,88,ELIC AYOMANOR,74,4.4,20.5,0.1,,,,,,
,,,,,,89,DYLAN LAUBE,9.4,0.6,4.1,0.0,89,JACK BECH,73,4.3,19.8,0.1,,,,,,
,,,,,,90,LAN LARISON,9.3,0.6,3.6,0.0,90,MACK HOLLINS,69,4.1,18.5,0.1,,,,,,
,,,,,,91,RONNIE RIVERS,9.0,0.6,3.2,0.0,91,GREG DORTCH,68,4.0,16.8,0.1,,,,,,
,,,,,,92,DEMAND CLAIBORNE,5.3,0.3,2.2,0.0,92,OLAMIDE ZACCHEAUS,68,4.0,17.0,0.1,,,,,,
,,,,,,93,RASHEEN ALI,5.3,0.3,2.0,0.0,93,DEVONTEZ WALKER,64,3.8,18.0,0.1,,,,,,
,,,,,,94,TYLER GOODSON,0.0,0.0,0.0,0.0,94,CALVIN AUSTIN III,64,3.8,18.1,0.1,,,,,,
,,,,,,95,RAY DAVIS,0.0,0.0,0.0,0.0,95,TREYLON BURKS,63,3.7,17.2,0.1,,,,,,
,,,,,,96,ROSCHON JOHNSON,0.0,0.0,0.0,0.0,96,HOLLYWOOD BROWN,62,3.7,16.4,0.1,,,,,,
,,,,,,,,,,,,97,DYAMI BROWN,61,3.6,16.1,0.1,,,,,,
,,,,,,,,,,,,98,ISAAC TESLAA,60,3.5,16.8,0.1,,,,,,
,,,,,,,,,,,,99,JOSH PALMER,59,3.5,17.0,0.1,,,,,,
,,,,,,,,,,,,100,CHIMERE DIKE,58,3.4,14.4,0.1,,,,,,
,,,,,,,,,,,,101,KENDRICK BOURNE,56,3.3,17.0,0.1,,,,,,
,,,,,,,,,,,,102,KALIF RAYMOND,53,3.1,14.6,0.1,,,,,,
,,,,,,,,,,,,103,MITCH TINSLEY,51,3.0,14.9,0.1,,,,,,
,,,,,,,,,,,,104,KAYSHON BOUTTE,51,3.0,15.2,0.1,,,,,,
,,,,,,,,,,,,105,JAHAN DOTSON,51,3.0,14.9,0.1,,,,,,
,,,,,,,,,,,,106,TEZ JOHNSON,50,2.9,13.2,0.1,,,,,,
,,,,,,,,,,,,107,DONT'E THORNTON JR,49,2.9,13.8,0.1,,,,,,
,,,,,,,,,,,,108,SAVION WILLIAMS,47,2.8,11.8,0.1,,,,,,
,,,,,,,,,,,,109,MARVIN MIMS JR,45,2.6,11.3,0.1,,,,,,
,,,,,,,,,,,,110,BRENEN THOMPSON,45,2.6,12.4,0.1,,,,,,
,,,,,,,,,,,,111,MARQUEZ VALDES-SCANTLING,42,2.5,12.3,0.1,,,,,,
,,,,,,,,,,,,112,CEDRIC TILLMAN,40,2.4,11.9,0.0,,,,,,
,,,,,,,,,,,,113,DEVAUGHN VELE,38,2.3,10.4,0.1,,,,,,
,,,,,,,,,,,,114,CHRIS BELL,38,2.2,10.5,0.1,,,,,,
,,,,,,,,,,,,115,LUKE MCCAFFREY,38,2.2,10.8,0.1,,,,,,
,,,,,,,,,,,,116,JAHDAE WALKER,37,2.2,11.3,0.0,,,,,,
,,,,,,,,,,,,117,ROMAN WILSON,37,2.2,10.9,0.0,,,,,,
,,,,,,,,,,,,118,ASHTON DULIN,36,2.1,11.3,0.1,,,,,,
,,,,,,,,,,,,119,JALEN ROYALS,36,2.1,9.7,0.0,,,,,,
,,,,,,,,,,,,120,KYLE WILLIAMS,34,2.0,10.9,0.1,,,,,,
,,,,,,,,,,,,121,KAVONTAE TURPIN,30,1.8,9.8,0.1,,,,,,
,,,,,,,,,,,,122,JORDAN WHITTINGTON,29,1.7,7.7,0.1,,,,,,
,,,,,,,,,,,,123,CALEB DOUGLAS,28,1.6,7.6,0.0,,,,,,
,,,,,,,,,,,,124,XAVIER HUTCHINSON,25,1.5,6.9,0.0,,,,,,
,,,,,,,,,,,,125,KEANDRE LAMBERT-SMITH,25,1.5,6.8,0.0,,,,,,
,,,,,,,,,,,,126,JAYLIN NOEL,25,1.4,6.9,0.0,,,,,,
,,,,,,,,,,,,127,XAVIER SMITH,24,1.4,7.7,0.0,,,,,,
,,,,,,,,,,,,128,JA'LYNN POLK,23,1.4,6.2,0.0,,,,,,
,,,,,,,,,,,,129,MALACHI FIELDS,23,1.3,6.4,0.0,,,,,,
,,,,,,,,,,,,130,TIM PATRICK,21,1.2,5.9,0.0,,,,,,
,,,,,,,,,,,,131,KONATA MUMPFIELD,19,1.1,5.2,0.0,,,,,,
,,,,,,,,,,,,132,ISAIAH WILLIAMS,16,0.9,3.9,0.0,,,,,,
,,,,,,,,,,,,133,SKYY MOORE,8,0.5,2.4,0.0,,,,,,
,,,,,,,,,,,,134,CJ WILLIAMS,8,0.5,2.2,0.0,,,,,,
,,,,,,,,,,,,135,CEDRIC WILSON JR,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,136,DEION BURKS,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,137,NICK REMIGIO,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,138,TAI FELTON,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,139,DILLON BELL,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,140,BRYCE LANCE,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,141,DAREKE YOUNG,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,142,DARIUS COOPER,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,143,BEN SKOWRONEK,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,144,JACOB COWING,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,145,JAKE BOBO,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,146,TORY HOLTON,0,0.0,0.0,0.0,,,,,,
,,,,,,,,,,,,147,KAMERON JOHNSON,0,0.0,0.0,0.0,,,,,,
