QUARTERBACK PPR PROJECTIONS,,,,,,RUNNING BACK PPR PROJECTIONS,,,,,,WIDE RECEIVER PPR PROJECTIONS (SEASON LONG),,,,,,TIGHT END PPR PROJECTIONS (SEASON LONG),,,,,
Rank,Quarterback,Projection,FPPG,TOT YPG,TD/G,Rank,Running Back,Projection,FPPG,TOT YPG,TD/G,Rank,Wide Receiver,Projection,FPPG,TOT YPG,TD/G,Rank,Tight End,Projection,FPPG,YPG,TOT YPG
1,JOSH ALLEN,381,23.8,268.9,2.7,1,CHRISTIAN MCCAFFREY,395.4,24.7,123.8,1.2,1,PUKA NACUA,380,22.4,98.0,0.9,1,TREY MCBRIDE,269,15.8,62.7,0.5
2,LAMAR JACKSON,335,20.9,248.4,2.3,2,BIJAN ROBINSON,373.8,23.4,126.2,1.1,2,JA'MARR CHASE,370,21.8,91.8,0.8,2,BROCK BOWERS,247,14.6,61.2,0.4
3,JAYDEN DANIELS,331,20.7,246.2,2.1,3,JAHMYR GIBBS,347.7,21.7,111.0,1.1,3,AMON-RA ST BROWN,310,18.3,75.6,0.7,3,TYLER WARREN,247,14.5,58.5,0.5
4,DRAKE MAYE,328,20.5,243.9,2.2,4,JAMES COOK,321.2,20.1,104.6,1.2,4,JAXON SMITH-NJIGBA,299,17.6,80.9,0.6,4,DALTON KINCAID,202,11.9,48.5,0.5
5,JOE BURROW,307,19.2,272.8,2.1,5,DE'VON ACHANE,304.6,19.0,102.7,0.7,5,CEEDEE LAMB,282,16.6,73.5,0.6,5,TUCKER KRAFT,202,11.9,51.7,0.5
6,JALEN HURTS,305,19.0,231.0,2.0,6,CHASE BROWN,292.5,18.3,85.0,0.9,6,JUSTIN JEFFERSON,270,15.9,71.4,0.6,6,COLSTON LOVELAND,201,11.8,48.4,0.5
7,CALEB WILLIAMS,303,18.9,243.2,2.1,7,JONATHAN TAYLOR,288.9,18.1,99.4,1.0,7,RASHEE RICE,268,15.8,65.5,0.6,7,KYLE PITTS SR,188,11.1,47.8,0.3
8,JAXSON DART,303,18.9,237.3,2.0,8,DERRICK HENRY,277.6,17.4,98.7,1.1,8,CHRIS OLAVE,268,15.7,68.5,0.5,8,TRAVIS KELCE,181,10.6,43.7,0.3
9,JORDAN LOVE,301,18.8,247.9,2.2,9,ASHTON JEANTY,274.5,17.2,95.5,0.7,9,GEORGE PICKENS,267,15.7,72.3,0.6,9,HAROLD FANNIN JR,179,10.5,42.9,0.3
10,BO NIX,300,18.8,243.4,2.0,10,JOSH JACOBS,274.0,17.1,90.5,1.0,10,DEVONTA SMITH,259,15.2,67.2,0.6,10,JAKE FERGUSON,176,10.3,36.8,0.3
